pk,movie_id,keyword_id
1133,718930,166479
1134,718930,179431
1135,718930,234041
1136,653851,3264
1137,653851,179430
1138,653851,179431
1139,569094,9663
1140,569094,9715
1141,569094,9717
1142,569094,221309
1143,569094,245157
1144,942199,310
1145,942199,803
1146,942199,200055
1147,942199,210202
1148,942199,227497
1149,942199,241609
1150,942199,287324
1151,335787,6956
1152,335787,8562
1153,335787,11088
1154,335787,41645
1155,335787,169953
1156,335787,179431
1157,335787,253869
1158,726274,11083
1159,726274,18712
1160,726274,155622
1161,726274,185343
1162,726274,213280
1163,726274,220890
1164,726274,257094
1165,983768,534
1166,983768,782
1167,983768,5616
1168,983768,14755
1169,983768,156805
1170,983768,160985
1171,983768,179577
1172,983768,195908
1173,983768,218122
1174,983768,306255
1175,829410,5248
1176,829410,6054
1177,829410,6898
1178,829410,9748
1179,829410,12339
1180,829410,14903
1181,829410,159138
1182,829410,188973
1183,829410,226344
1184,829410,238752
1185,829410,263237
1186,829410,285268
1187,882598,236
1188,882598,703
1189,882598,2340
1190,882598,2726
1191,882598,2754
1192,882598,10541
1193,882598,11612
1194,882598,13005
1195,882598,41329
1196,882598,156075
1197,882598,157701
1198,882598,241827
1199,882598,268132
1200,882598,278807
1201,551271,9672
1202,551271,161257
1203,772515,18011
1204,772515,187056
1205,790496,301766
1206,575322,10158
1207,575322,230857
1208,575322,281358
1209,916224,3255
1210,916224,5096
1211,916224,10809
1212,916224,68646
1213,916224,210024
1214,599019,8531
1215,599019,10468
1216,599019,15199
1217,1101799,1721
1218,1101799,7312
1219,1101799,11322
1220,1101799,254608
1221,438695,1674
1222,438695,11477
1223,438695,12990
1224,438695,18165
1225,438695,306945
1226,808,2343
1227,808,2434
1228,808,2596
1229,808,3071
1230,808,3098
1231,808,3205
1232,808,4147
1233,808,4158
1234,808,4551
1235,808,7376
1236,808,9755
1237,808,11477
1238,808,12554
1239,808,187056
1240,808,189111
1241,808,311143
1242,1045944,65
1243,1045944,1991
1244,1045944,207317
1245,851644,10683
1246,851644,10809
1247,851644,157303
1248,851644,164246
1249,851644,206671
